Sentence,Target_Action,Noun,Color,Relative_Action,Relative_Object,Relative_Object_Color
delete the red cube above the red pyramid,delete,cube,red,above,pyramid,red
delete the red cube above the blue pyramid,delete,cube,red,above,pyramid,blue
delete the red cube above the green pyramid,delete,cube,red,above,pyramid,green
delete the red cube below the red pyramid,delete,cube,red,below,pyramid,red
delete the red cube below the blue pyramid,delete,cube,red,below,pyramid,blue
delete the red cube below the green pyramid,delete,cube,red,below,pyramid,green
delete the red cube near the red pyramid,delete,cube,red,near,pyramid,red
delete the red cube near the blue pyramid,delete,cube,red,near,pyramid,blue
delete the red cube near the green pyramid,delete,cube,red,near,pyramid,green
delete the red cube right the red pyramid,delete,cube,red,right,pyramid,red
delete the red cube right the blue pyramid,delete,cube,red,right,pyramid,blue
delete the red cube right the green pyramid,delete,cube,red,right,pyramid,green
delete the red cube left the red pyramid,delete,cube,red,left,pyramid,red
delete the red cube left the blue pyramid,delete,cube,red,left,pyramid,blue
delete the red cube left the green pyramid,delete,cube,red,left,pyramid,green
delete the red cube above the red sphere,delete,cube,red,above,sphere,red
delete the red cube above the blue sphere,delete,cube,red,above,sphere,blue
delete the red cube above the green sphere,delete,cube,red,above,sphere,green
delete the red cube below the red sphere,delete,cube,red,below,sphere,red
delete the red cube below the blue sphere,delete,cube,red,below,sphere,blue
delete the red cube below the green sphere,delete,cube,red,below,sphere,green
delete the red cube near the red sphere,delete,cube,red,near,sphere,red
delete the red cube near the blue sphere,delete,cube,red,near,sphere,blue
delete the red cube near the green sphere,delete,cube,red,near,sphere,green
delete the red cube right the red sphere,delete,cube,red,right,sphere,red
delete the red cube right the blue sphere,delete,cube,red,right,sphere,blue
delete the red cube right the green sphere,delete,cube,red,right,sphere,green
delete the red cube left the red sphere,delete,cube,red,left,sphere,red
delete the red cube left the blue sphere,delete,cube,red,left,sphere,blue
delete the red cube left the green sphere,delete,cube,red,left,sphere,green
move the red cube above the red cube,move,cube,red,above,cube,red
move the red cube above the blue cube,move,cube,red,above,cube,blue
move the red cube above the green cube,move,cube,red,above,cube,green
move the red cube below the red cube,move,cube,red,below,cube,red
move the red cube below the blue cube,move,cube,red,below,cube,blue
move the red cube below the green cube,move,cube,red,below,cube,green
move the red cube near the red cube,move,cube,red,near,cube,red
move the red cube near the blue cube,move,cube,red,near,cube,blue
move the red cube near the green cube,move,cube,red,near,cube,green
move the red cube right the red cube,move,cube,red,right,cube,red
move the red cube right the blue cube,move,cube,red,right,cube,blue
move the red cube right the green cube,move,cube,red,right,cube,green
move the red cube left the red cube,move,cube,red,left,cube,red
move the red cube left the blue cube,move,cube,red,left,cube,blue
move the red cube left the green cube,move,cube,red,left,cube,green
move the red cube above the red pyramid,move,cube,red,above,pyramid,red
move the red cube above the blue pyramid,move,cube,red,above,pyramid,blue
move the red cube above the green pyramid,move,cube,red,above,pyramid,green
move the red cube below the red pyramid,move,cube,red,below,pyramid,red
move the red cube below the blue pyramid,move,cube,red,below,pyramid,blue
move the red cube below the green pyramid,move,cube,red,below,pyramid,green
move the red cube near the red pyramid,move,cube,red,near,pyramid,red
move the red cube near the blue pyramid,move,cube,red,near,pyramid,blue
move the red cube near the green pyramid,move,cube,red,near,pyramid,green
move the red cube right the red pyramid,move,cube,red,right,pyramid,red
move the red cube right the blue pyramid,move,cube,red,right,pyramid,blue
move the red cube right the green pyramid,move,cube,red,right,pyramid,green
move the red cube left the red pyramid,move,cube,red,left,pyramid,red
move the red cube left the blue pyramid,move,cube,red,left,pyramid,blue
move the red cube left the green pyramid,move,cube,red,left,pyramid,green
move the red cube above the red sphere,move,cube,red,above,sphere,red
move the red cube above the blue sphere,move,cube,red,above,sphere,blue
move the red cube above the green sphere,move,cube,red,above,sphere,green
move the red cube below the red sphere,move,cube,red,below,sphere,red
move the red cube below the blue sphere,move,cube,red,below,sphere,blue
move the red cube below the green sphere,move,cube,red,below,sphere,green
move the red cube near the red sphere,move,cube,red,near,sphere,red
move the red cube near the blue sphere,move,cube,red,near,sphere,blue
move the red cube near the green sphere,move,cube,red,near,sphere,green
move the red cube right the red sphere,move,cube,red,right,sphere,red
move the red cube right the blue sphere,move,cube,red,right,sphere,blue
move the red cube right the green sphere,move,cube,red,right,sphere,green
move the red cube left the red sphere,move,cube,red,left,sphere,red
move the red cube left the blue sphere,move,cube,red,left,sphere,blue
move the red cube left the green sphere,move,cube,red,left,sphere,green
hold the red cube above the red cube,hold,cube,red,above,cube,red
hold the red cube above the blue cube,hold,cube,red,above,cube,blue
hold the red cube above the green cube,hold,cube,red,above,cube,green
hold the red cube below the red cube,hold,cube,red,below,cube,red
hold the red cube below the blue cube,hold,cube,red,below,cube,blue
hold the red cube below the green cube,hold,cube,red,below,cube,green
hold the red cube near the red cube,hold,cube,red,near,cube,red
hold the red cube near the blue cube,hold,cube,red,near,cube,blue
hold the red cube near the green cube,hold,cube,red,near,cube,green
hold the red cube right the red cube,hold,cube,red,right,cube,red
hold the red cube right the blue cube,hold,cube,red,right,cube,blue
hold the red cube right the green cube,hold,cube,red,right,cube,green
hold the red cube left the red cube,hold,cube,red,left,cube,red
hold the red cube left the blue cube,hold,cube,red,left,cube,blue
hold the red cube left the green cube,hold,cube,red,left,cube,green
hold the red cube above the red pyramid,hold,cube,red,above,pyramid,red
hold the red cube above the blue pyramid,hold,cube,red,above,pyramid,blue
hold the red cube above the green pyramid,hold,cube,red,above,pyramid,green
hold the red cube below the red pyramid,hold,cube,red,below,pyramid,red
hold the red cube below the blue pyramid,hold,cube,red,below,pyramid,blue
hold the red cube below the green pyramid,hold,cube,red,below,pyramid,green
hold the red cube near the red pyramid,hold,cube,red,near,pyramid,red
hold the red cube near the blue pyramid,hold,cube,red,near,pyramid,blue
hold the red cube near the green pyramid,hold,cube,red,near,pyramid,green
hold the red cube right the red pyramid,hold,cube,red,right,pyramid,red
hold the red cube right the blue pyramid,hold,cube,red,right,pyramid,blue
hold the red cube right the green pyramid,hold,cube,red,right,pyramid,green
hold the red cube left the red pyramid,hold,cube,red,left,pyramid,red
hold the red cube left the blue pyramid,hold,cube,red,left,pyramid,blue
hold the red cube left the green pyramid,hold,cube,red,left,pyramid,green
hold the red cube above the red sphere,hold,cube,red,above,sphere,red
hold the red cube above the blue sphere,hold,cube,red,above,sphere,blue
hold the red cube above the green sphere,hold,cube,red,above,sphere,green
hold the red cube below the red sphere,hold,cube,red,below,sphere,red
hold the red cube below the blue sphere,hold,cube,red,below,sphere,blue
hold the red cube below the green sphere,hold,cube,red,below,sphere,green
hold the red cube near the red sphere,hold,cube,red,near,sphere,red
hold the red cube near the blue sphere,hold,cube,red,near,sphere,blue
hold the red cube near the green sphere,hold,cube,red,near,sphere,green
hold the red cube right the red sphere,hold,cube,red,right,sphere,red
hold the red cube right the blue sphere,hold,cube,red,right,sphere,blue
hold the red cube right the green sphere,hold,cube,red,right,sphere,green
hold the red cube left the red sphere,hold,cube,red,left,sphere,red
hold the red cube left the blue sphere,hold,cube,red,left,sphere,blue
hold the red cube left the green sphere,hold,cube,red,left,sphere,green
add the blue cube above the red cube,add,cube,blue,above,cube,red
add the blue cube above the blue cube,add,cube,blue,above,cube,blue
add the blue cube above the green cube,add,cube,blue,above,cube,green
add the blue cube below the red cube,add,cube,blue,below,cube,red
add the blue cube below the blue cube,add,cube,blue,below,cube,blue
add the blue cube below the green cube,add,cube,blue,below,cube,green
add the blue cube near the red cube,add,cube,blue,near,cube,red
add the blue cube near the blue cube,add,cube,blue,near,cube,blue
add the blue cube near the green cube,add,cube,blue,near,cube,green
add the blue cube right the red cube,add,cube,blue,right,cube,red
add the blue cube right the blue cube,add,cube,blue,right,cube,blue
add the blue cube right the green cube,add,cube,blue,right,cube,green
add the blue cube left the red cube,add,cube,blue,left,cube,red
add the blue cube left the blue cube,add,cube,blue,left,cube,blue
add the blue cube left the green cube,add,cube,blue,left,cube,green
add the blue cube above the red pyramid,add,cube,blue,above,pyramid,red
add the blue cube above the blue pyramid,add,cube,blue,above,pyramid,blue
add the blue cube above the green pyramid,add,cube,blue,above,pyramid,green
add the blue cube below the red pyramid,add,cube,blue,below,pyramid,red
add the blue cube below the blue pyramid,add,cube,blue,below,pyramid,blue
add the blue cube below the green pyramid,add,cube,blue,below,pyramid,green
add the blue cube near the red pyramid,add,cube,blue,near,pyramid,red
add the blue cube near the blue pyramid,add,cube,blue,near,pyramid,blue
add the blue cube near the green pyramid,add,cube,blue,near,pyramid,green
add the blue cube right the red pyramid,add,cube,blue,right,pyramid,red
add the blue cube right the blue pyramid,add,cube,blue,right,pyramid,blue
add the blue cube right the green pyramid,add,cube,blue,right,pyramid,green
add the blue cube left the red pyramid,add,cube,blue,left,pyramid,red
add the blue cube left the blue pyramid,add,cube,blue,left,pyramid,blue
add the blue cube left the green pyramid,add,cube,blue,left,pyramid,green
add the blue cube above the red sphere,add,cube,blue,above,sphere,red
add the blue cube above the blue sphere,add,cube,blue,above,sphere,blue
add the blue cube above the green sphere,add,cube,blue,above,sphere,green
add the blue cube below the red sphere,add,cube,blue,below,sphere,red
add the blue cube below the blue sphere,add,cube,blue,below,sphere,blue
add the blue cube below the green sphere,add,cube,blue,below,sphere,green
add the blue cube near the red sphere,add,cube,blue,near,sphere,red
add the blue cube near the blue sphere,add,cube,blue,near,sphere,blue
add the blue cube near the green sphere,add,cube,blue,near,sphere,green
add the blue cube right the red sphere,add,cube,blue,right,sphere,red
add the blue cube right the blue sphere,add,cube,blue,right,sphere,blue
add the blue cube right the green sphere,add,cube,blue,right,sphere,green
add the blue cube left the red sphere,add,cube,blue,left,sphere,red
add the blue cube left the blue sphere,add,cube,blue,left,sphere,blue
add the blue cube left the green sphere,add,cube,blue,left,sphere,green
find the blue cube above the red cube,find,cube,blue,above,cube,red
find the blue cube above the blue cube,find,cube,blue,above,cube,blue
find the blue cube above the green cube,find,cube,blue,above,cube,green
find the blue cube below the red cube,find,cube,blue,below,cube,red
find the blue cube below the blue cube,find,cube,blue,below,cube,blue
find the blue cube below the green cube,find,cube,blue,below,cube,green
find the blue cube near the red cube,find,cube,blue,near,cube,red
find the blue cube near the blue cube,find,cube,blue,near,cube,blue
find the blue cube near the green cube,find,cube,blue,near,cube,green
find the blue cube right the red cube,find,cube,blue,right,cube,red
find the blue cube right the blue cube,find,cube,blue,right,cube,blue
find the blue cube right the green cube,find,cube,blue,right,cube,green
find the blue cube left the red cube,find,cube,blue,left,cube,red
find the blue cube left the blue cube,find,cube,blue,left,cube,blue
find the blue cube left the green cube,find,cube,blue,left,cube,green
find the blue cube above the red pyramid,find,cube,blue,above,pyramid,red
find the blue cube above the blue pyramid,find,cube,blue,above,pyramid,blue
find the blue cube above the green pyramid,find,cube,blue,above,pyramid,green
find the blue cube below the red pyramid,find,cube,blue,below,pyramid,red
find the blue cube below the blue pyramid,find,cube,blue,below,pyramid,blue
find the blue cube below the green pyramid,find,cube,blue,below,pyramid,green
find the blue cube near the red pyramid,find,cube,blue,near,pyramid,red
find the blue cube near the blue pyramid,find,cube,blue,near,pyramid,blue
find the blue cube near the green pyramid,find,cube,blue,near,pyramid,green
find the blue cube right the red pyramid,find,cube,blue,right,pyramid,red
find the blue cube right the blue pyramid,find,cube,blue,right,pyramid,blue
find the blue cube right the green pyramid,find,cube,blue,right,pyramid,green
find the blue cube left the red pyramid,find,cube,blue,left,pyramid,red
find the blue cube left the blue pyramid,find,cube,blue,left,pyramid,blue
find the blue cube left the green pyramid,find,cube,blue,left,pyramid,green
find the blue cube above the red sphere,find,cube,blue,above,sphere,red
find the blue cube above the blue sphere,find,cube,blue,above,sphere,blue
find the blue cube above the green sphere,find,cube,blue,above,sphere,green
find the blue cube below the red sphere,find,cube,blue,below,sphere,red
find the blue cube below the blue sphere,find,cube,blue,below,sphere,blue
find the blue cube below the green sphere,find,cube,blue,below,sphere,green
find the blue cube near the red sphere,find,cube,blue,near,sphere,red
find the blue cube near the blue sphere,find,cube,blue,near,sphere,blue
find the blue cube near the green sphere,find,cube,blue,near,sphere,green
find the blue cube right the red sphere,find,cube,blue,right,sphere,red
find the blue cube right the blue sphere,find,cube,blue,right,sphere,blue
find the blue cube right the green sphere,find,cube,blue,right,sphere,green
find the blue cube left the red sphere,find,cube,blue,left,sphere,red
find the blue cube left the blue sphere,find,cube,blue,left,sphere,blue
find the blue cube left the green sphere,find,cube,blue,left,sphere,green
delete the blue cube above the red cube,delete,cube,blue,above,cube,red
delete the blue cube above the blue cube,delete,cube,blue,above,cube,blue
delete the blue cube above the green cube,delete,cube,blue,above,cube,green
delete the blue cube below the red cube,delete,cube,blue,below,cube,red
delete the blue cube below the blue cube,delete,cube,blue,below,cube,blue
delete the blue cube below the green cube,delete,cube,blue,below,cube,green
delete the blue cube near the red cube,delete,cube,blue,near,cube,red
delete the blue cube near the blue cube,delete,cube,blue,near,cube,blue
delete the blue cube near the green cube,delete,cube,blue,near,cube,green
delete the blue cube right the red cube,delete,cube,blue,right,cube,red
delete the blue cube right the blue cube,delete,cube,blue,right,cube,blue
delete the blue cube right the green cube,delete,cube,blue,right,cube,green
delete the blue cube left the red cube,delete,cube,blue,left,cube,red
delete the blue cube left the blue cube,delete,cube,blue,left,cube,blue
delete the blue cube left the green cube,delete,cube,blue,left,cube,green
delete the blue cube above the red pyramid,delete,cube,blue,above,pyramid,red
delete the blue cube above the blue pyramid,delete,cube,blue,above,pyramid,blue
delete the blue cube above the green pyramid,delete,cube,blue,above,pyramid,green
delete the blue cube below the red pyramid,delete,cube,blue,below,pyramid,red
delete the blue cube below the blue pyramid,delete,cube,blue,below,pyramid,blue
delete the blue cube below the green pyramid,delete,cube,blue,below,pyramid,green
delete the blue cube near the red pyramid,delete,cube,blue,near,pyramid,red
delete the blue cube near the blue pyramid,delete,cube,blue,near,pyramid,blue
delete the blue cube near the green pyramid,delete,cube,blue,near,pyramid,green
delete the blue cube right the red pyramid,delete,cube,blue,right,pyramid,red
delete the blue cube right the blue pyramid,delete,cube,blue,right,pyramid,blue
delete the blue cube right the green pyramid,delete,cube,blue,right,pyramid,green
delete the blue cube left the red pyramid,delete,cube,blue,left,pyramid,red
delete the blue cube left the blue pyramid,delete,cube,blue,left,pyramid,blue
delete the blue cube left the green pyramid,delete,cube,blue,left,pyramid,green
delete the blue cube above the red sphere,delete,cube,blue,above,sphere,red
delete the blue cube above the blue sphere,delete,cube,blue,above,sphere,blue
delete the blue cube above the green sphere,delete,cube,blue,above,sphere,green
delete the blue cube below the red sphere,delete,cube,blue,below,sphere,red
delete the blue cube below the blue sphere,delete,cube,blue,below,sphere,blue
delete the blue cube below the green sphere,delete,cube,blue,below,sphere,green
delete the blue cube near the red sphere,delete,cube,blue,near,sphere,red
delete the blue cube near the blue sphere,delete,cube,blue,near,sphere,blue
delete the blue cube near the green sphere,delete,cube,blue,near,sphere,green
delete the blue cube right the red sphere,delete,cube,blue,right,sphere,red
delete the blue cube right the blue sphere,delete,cube,blue,right,sphere,blue
delete the blue cube right the green sphere,delete,cube,blue,right,sphere,green
delete the blue cube left the red sphere,delete,cube,blue,left,sphere,red
delete the blue cube left the blue sphere,delete,cube,blue,left,sphere,blue
delete the blue cube left the green sphere,delete,cube,blue,left,sphere,green
move the blue cube above the red cube,move,cube,blue,above,cube,red
move the blue cube above the blue cube,move,cube,blue,above,cube,blue
move the blue cube above the green cube,move,cube,blue,above,cube,green
move the blue cube below the red cube,move,cube,blue,below,cube,red
move the blue cube below the blue cube,move,cube,blue,below,cube,blue
move the blue cube below the green cube,move,cube,blue,below,cube,green
move the blue cube near the red cube,move,cube,blue,near,cube,red
move the blue cube near the blue cube,move,cube,blue,near,cube,blue
move the blue cube near the green cube,move,cube,blue,near,cube,green
move the blue cube right the red cube,move,cube,blue,right,cube,red
move the blue cube right the blue cube,move,cube,blue,right,cube,blue
move the blue cube right the green cube,move,cube,blue,right,cube,green
move the blue cube left the red cube,move,cube,blue,left,cube,red
move the blue cube left the blue cube,move,cube,blue,left,cube,blue
move the blue cube left the green cube,move,cube,blue,left,cube,green
move the blue cube above the red pyramid,move,cube,blue,above,pyramid,red
move the blue cube above the blue pyramid,move,cube,blue,above,pyramid,blue
move the blue cube above the green pyramid,move,cube,blue,above,pyramid,green
move the blue cube below the red pyramid,move,cube,blue,below,pyramid,red
move the blue cube below the blue pyramid,move,cube,blue,below,pyramid,blue
move the blue cube below the green pyramid,move,cube,blue,below,pyramid,green
move the blue cube near the red pyramid,move,cube,blue,near,pyramid,red
move the blue cube near the blue pyramid,move,cube,blue,near,pyramid,blue
move the blue cube near the green pyramid,move,cube,blue,near,pyramid,green
move the blue cube right the red pyramid,move,cube,blue,right,pyramid,red
move the blue cube right the blue pyramid,move,cube,blue,right,pyramid,blue
move the blue cube right the green pyramid,move,cube,blue,right,pyramid,green
move the blue cube left the red pyramid,move,cube,blue,left,pyramid,red
move the blue cube left the blue pyramid,move,cube,blue,left,pyramid,blue
move the blue cube left the green pyramid,move,cube,blue,left,pyramid,green
move the blue cube above the red sphere,move,cube,blue,above,sphere,red
move the blue cube above the blue sphere,move,cube,blue,above,sphere,blue
move the blue cube above the green sphere,move,cube,blue,above,sphere,green
move the blue cube below the red sphere,move,cube,blue,below,sphere,red
move the blue cube below the blue sphere,move,cube,blue,below,sphere,blue
move the blue cube below the green sphere,move,cube,blue,below,sphere,green
move the blue cube near the red sphere,move,cube,blue,near,sphere,red
move the blue cube near the blue sphere,move,cube,blue,near,sphere,blue
move the blue cube near the green sphere,move,cube,blue,near,sphere,green
move the blue cube right the red sphere,move,cube,blue,right,sphere,red
move the blue cube right the blue sphere,move,cube,blue,right,sphere,blue
move the blue cube right the green sphere,move,cube,blue,right,sphere,green
move the blue cube left the red sphere,move,cube,blue,left,sphere,red
move the blue cube left the blue sphere,move,cube,blue,left,sphere,blue
move the blue cube left the green sphere,move,cube,blue,left,sphere,green
hold the blue cube above the red cube,hold,cube,blue,above,cube,red
hold the blue cube above the blue cube,hold,cube,blue,above,cube,blue
hold the blue cube above the green cube,hold,cube,blue,above,cube,green
hold the blue cube below the red cube,hold,cube,blue,below,cube,red
hold the blue cube below the blue cube,hold,cube,blue,below,cube,blue
hold the blue cube below the green cube,hold,cube,blue,below,cube,green
hold the blue cube near the red cube,hold,cube,blue,near,cube,red
hold the blue cube near the blue cube,hold,cube,blue,near,cube,blue
hold the blue cube near the green cube,hold,cube,blue,near,cube,green
hold the blue cube right the red cube,hold,cube,blue,right,cube,red
hold the blue cube right the blue cube,hold,cube,blue,right,cube,blue
hold the blue cube right the green cube,hold,cube,blue,right,cube,green
hold the blue cube left the red cube,hold,cube,blue,left,cube,red
hold the blue cube left the blue cube,hold,cube,blue,left,cube,blue
hold the blue cube left the green cube,hold,cube,blue,left,cube,green
hold the blue cube above the red pyramid,hold,cube,blue,above,pyramid,red
hold the blue cube above the blue pyramid,hold,cube,blue,above,pyramid,blue
hold the blue cube above the green pyramid,hold,cube,blue,above,pyramid,green
hold the blue cube below the red pyramid,hold,cube,blue,below,pyramid,red
hold the blue cube below the blue pyramid,hold,cube,blue,below,pyramid,blue
hold the blue cube below the green pyramid,hold,cube,blue,below,pyramid,green
hold the blue cube near the red pyramid,hold,cube,blue,near,pyramid,red
hold the blue cube near the blue pyramid,hold,cube,blue,near,pyramid,blue
hold the blue cube near the green pyramid,hold,cube,blue,near,pyramid,green
hold the blue cube right the red pyramid,hold,cube,blue,right,pyramid,red
hold the blue cube right the blue pyramid,hold,cube,blue,right,pyramid,blue
hold the blue cube right the green pyramid,hold,cube,blue,right,pyramid,green
hold the blue cube left the red pyramid,hold,cube,blue,left,pyramid,red
hold the blue cube left the blue pyramid,hold,cube,blue,left,pyramid,blue
hold the blue cube left the green pyramid,hold,cube,blue,left,pyramid,green
hold the blue cube above the red sphere,hold,cube,blue,above,sphere,red
hold the blue cube above the blue sphere,hold,cube,blue,above,sphere,blue
hold the blue cube above the green sphere,hold,cube,blue,above,sphere,green
